GENUS;species;colony;dead TRT 0;dead TRT 0.02;dead TRT 0.2;dead TRT control;check day;;;
Tapinoma;magnum;Lyon 8 ;7;0;0;1;21/07/2020;;;
Tapinoma;magnum;St-Sulpice 4 ;;0;0;3;21/07/2020;;;
Tapinoma;magnum;Ours 14 Av ;;1;3;1;21/07/2020;;;
Tapinoma;magnum;Cully 4 ;;4;3;1;21/07/2020;;;
Tapinoma;magnum;EPFL 3;;0;4;0;21/07/2020;;;
Tapinoma;magnum;Ours 26 Av ;1;0;1;2;21/07/2020;;;
Tapinoma;magnum;Lyon 8 ;5;0;1;0;28/07/2020;;;
Tapinoma;magnum;St-Sulpice 4 ;;3;5;0;28/07/2020;;;
Tapinoma;magnum;Ours 14 Av ;;4;;0;28/07/2020;;;
Tapinoma;magnum;Cully 4 ;;3;4;4;28/07/2020;;;
Tapinoma;magnum;EPFL 3;;2;2;0;28/07/2020;;;
Tapinoma;magnum;Ours 26 Av ;;3;1;2;28/07/2020;;;
